"First Object";"Second Object";"Similarity Value";"First Object Data";"Second Object Data"
"cd.[4975]";"cd.[5889]";"0.8333333134651184";"";""
"cd.[5577]";"cd.[8990]";"0.9375";"";""
"cd.[3475]";"cd.[8592]";"1.0";"";""
"cd.[105098]";"cd.[105131]";"-1.0";"";""
"cd.[103398]";"cd.[105131]";"-1.0";"";""
"cd.[105131]";"cd.[105148]";"0.3333333134651184";"";""
"cd.[105131]";"cd.[107056]";"-1.0";"";""
"cd.[103398]";"cd.[105098]";"0.875";"";""
"cd.[105098]";"cd.[105148]";"-1.0";"";""
"cd.[105098]";"cd.[107056]";"0.875";"";""
"cd.[103398]";"cd.[105148]";"0.3333333134651184";"";""
"cd.[103398]";"cd.[107056]";"0.875";"";""
"cd.[105148]";"cd.[107056]";"-1.0";"";""
"cd.[8224]";"cd.[8754]";"1.0";"";""
"cd.[4179]";"cd.[4732]";"0.800000011920929";"";""
"cd.[4179]";"cd.[4911]";"0.800000011920929";"";""
"cd.[4732]";"cd.[4911]";"1.0";"";""
"cd.[6811]";"cd.[7429]";"1.0";"";""
"cd.[6339]";"cd.[7517]";"1.0";"";""
"cd.[100856]";"cd.[105518]";"-1.0";"";""
"cd.[101021]";"cd.[105518]";"-1.0";"";""
"cd.[105518]";"cd.[108429]";"-1.0";"";""
"cd.[104099]";"cd.[105518]";"-1.0";"";""
"cd.[104289]";"cd.[105518]";"0.45454543828964233";"";""
"cd.[104310]";"cd.[105518]";"-1.0";"";""
"cd.[102831]";"cd.[105518]";"0.8333333134651184";"";""
"cd.[100558]";"cd.[105518]";"-1.0";"";""
"cd.[104117]";"cd.[105518]";"-1.0";"";""
"cd.[100717]";"cd.[105518]";"-1.0";"";""
"cd.[102514]";"cd.[105518]";"-1.0";"";""
"cd.[105076]";"cd.[105518]";"-1.0";"";""
"cd.[102670]";"cd.[105518]";"-1.0";"";""
"cd.[102477]";"cd.[105518]";"-1.0";"";""
"cd.[104872]";"cd.[105518]";"-1.0";"";""
"cd.[105518]";"cd.[2004]";"0.5";"";""
"cd.[105518]";"cd.[3710]";"0.5";"";""
"cd.[105518]";"cd.[107734]";"-1.0";"";""
"cd.[105349]";"cd.[105518]";"-1.0";"";""
"cd.[105518]";"cd.[109651]";"1.0";"";""
"cd.[103997]";"cd.[105518]";"-1.0";"";""
"cd.[100856]";"cd.[101021]";"-1.0";"";""
"cd.[100856]";"cd.[108429]";"-1.0";"";""
"cd.[100856]";"cd.[104099]";"0.5";"";""
"cd.[100856]";"cd.[104289]";"-1.0";"";""
"cd.[100856]";"cd.[104310]";"0.8571428656578064";"";""
"cd.[100856]";"cd.[102831]";"-1.0";"";""
"cd.[100558]";"cd.[100856]";"0.8571428656578064";"";""
"cd.[100856]";"cd.[104117]";"-1.0";"";""
"cd.[100717]";"cd.[100856]";"0.800000011920929";"";""
"cd.[100856]";"cd.[102514]";"-1.0";"";""
"cd.[100856]";"cd.[105076]";"0.7857142686843872";"";""
"cd.[100856]";"cd.[102670]";"-1.0";"";""
"cd.[100856]";"cd.[102477]";"-1.0";"";""
