"First Object";"Second Object";"Similarity Value";"First Object Data";"Second Object Data"
"cd.[4975]";"cd.[5889]";"0.9166666567325592";"";""
"cd.[5577]";"cd.[8990]";"0.96875";"";""
"cd.[7008]";"cd.[8831]";"1.0";"";""
"cd.[3475]";"cd.[8592]";"0.9444444477558136";"";""
"cd.[104097]";"cd.[109733]";"0.9230769276618958";"";""
"cd.[4586]";"cd.[7633]";"0.9545454382896423";"";""
"cd.[8224]";"cd.[8754]";"1.0";"";""
"cd.[10240]";"cd.[7367]";"0.9666666686534882";"";""
"cd.[5426]";"cd.[7869]";"1.0";"";""
"cd.[4732]";"cd.[4911]";"1.0";"";""
"cd.[3192]";"cd.[7923]";"0.949999988079071";"";""
"cd.[4395]";"cd.[8725]";"0.9111111164093018";"";""
"cd.[6948]";"cd.[7365]";"0.9523809552192688";"";""
"cd.[6339]";"cd.[7517]";"1.0";"";""
"cd.[7852]";"cd.[8029]";"1.0";"";""
"cd.[10383]";"cd.[7852]";"1.0";"";""
"cd.[10230]";"cd.[7852]";"0.9333333373069763";"";""
"cd.[6858]";"cd.[7852]";"0.9333333373069763";"";""
"cd.[10383]";"cd.[8029]";"1.0";"";""
"cd.[10230]";"cd.[8029]";"0.9333333373069763";"";""
"cd.[6858]";"cd.[8029]";"0.9333333373069763";"";""
"cd.[10230]";"cd.[10383]";"0.9333333373069763";"";""
"cd.[10383]";"cd.[6858]";"0.9333333373069763";"";""
"cd.[10230]";"cd.[6858]";"-1.0";"";""
"cd.[7350]";"cd.[8473]";"1.0";"";""
"cd.[7288]";"cd.[7483]";"1.0";"";""
"cd.[10938]";"cd.[11125]";"1.0";"";""
"cd.[10064]";"cd.[2819]";"1.0";"";""
"cd.[4297]";"cd.[4306]";"1.0";"";""
"cd.[4297]";"cd.[8636]";"1.0";"";""
"cd.[4306]";"cd.[8636]";"1.0";"";""
"cd.[6925]";"cd.[6926]";"1.0";"";""
"cd.[108408]";"cd.[108563]";"1.0";"";""
"cd.[4291]";"cd.[4905]";"1.0";"";""
"cd.[6722]";"cd.[7707]";"1.0";"";""
"cd.[3722]";"cd.[8453]";"1.0";"";""
"cd.[6719]";"cd.[8453]";"1.0";"";""
"cd.[3722]";"cd.[6719]";"1.0";"";""
"cd.[7201]";"cd.[8536]";"1.0";"";""
"cd.[7606]";"cd.[8538]";"1.0";"";""
"cd.[7671]";"cd.[8759]";"1.0";"";""
"cd.[5360]";"cd.[8430]";"0.9003496468067169";"";""
"cd.[6102]";"cd.[9115]";"1.0";"";""
"cd.[9333]";"cd.[9450]";"1.0";"";""
"cd.[9348]";"cd.[9485]";"1.0";"";""
"cd.[5477]";"cd.[9076]";"0.9666666686534882";"";""
"cd.[5477]";"cd.[8368]";"0.9333333373069763";"";""
"cd.[8368]";"cd.[9076]";"0.9666666686534882";"";""
"cd.[5664]";"cd.[8717]";"1.0";"";""
"cd.[6771]";"cd.[8507]";"1.0";"";""
"cd.[8609]";"cd.[9130]";"1.0";"";""
"cd.[4843]";"cd.[8794]";"0.9333333373069763";"";""
"cd.[7346]";"cd.[7719]";"1.0";"";""
"cd.[4851]";"cd.[7708]";"1.0";"";""
"cd.[8890]";"cd.[9063]";"0.9714285731315613";"";""
"cd.[6802]";"cd.[8890]";"0.9714285731315613";"";""
"cd.[6802]";"cd.[9063]";"1.0";"";""
"cd.[4419]";"cd.[7644]";"0.96875";"";""
"cd.[102361]";"cd.[103634]";"0.9032257795333862";"";""
"cd.[5731]";"cd.[8779]";"1.0";"";""
"cd.[7123]";"cd.[9038]";"0.9210526347160339";"";""
"cd.[6272]";"cd.[7460]";"1.0";"";""
"cd.[101564]";"cd.[108252]";"0.9642857015132904";"";""
"cd.[7980]";"cd.[9790]";"0.9449404776096344";"";""
"cd.[7604]";"cd.[9790]";"-1.0";"";""
"cd.[7604]";"cd.[7980]";"0.9211309552192688";"";""
"cd.[8043]";"cd.[8234]";"1.0";"";""
"cd.[11150]";"cd.[8901]";"1.0";"";""
"cd.[9421]";"cd.[9489]";"0.949999988079071";"";""
"cd.[7161]";"cd.[8131]";"1.0";"";""
"cd.[2813]";"cd.[3155]";"0.9761904776096344";"";""
