"First Object";"Second Object";"Similarity Value";"First Object Data";"Second Object Data"
"cd.[4975]";"cd.[5889]";"0.0";"";""
"cd.[7008]";"cd.[8831]";"1.0";"";""
"cd.[1838]";"cd.[7934]";"1.0";"";""
"cd.[8224]";"cd.[8754]";"1.0";"";""
"cd.[3529]";"cd.[4114]";"1.0";"";""
"cd.[6316]";"cd.[7311]";"0.2222222089767456";"";""
"cd.[4732]";"cd.[4911]";"0.0";"";""
"cd.[7363]";"cd.[8118]";"0.0";"";""
"cd.[6922]";"cd.[9161]";"1.0";"";""
"cd.[6948]";"cd.[7365]";"0.0";"";""
"cd.[6339]";"cd.[7517]";"0.0";"";""
"cd.[9614]";"cd.[9678]";"0.0";"";""
"cd.[2406]";"cd.[7291]";"0.6666666269302368";"";""
"cd.[7794]";"cd.[9063]";"1.0";"";""
"cd.[6802]";"cd.[7794]";"-1.0";"";""
"cd.[6802]";"cd.[9063]";"0.0";"";""
"cd.[7350]";"cd.[8473]";"0.0";"";""
"cd.[7288]";"cd.[7483]";"0.0";"";""
"cd.[10938]";"cd.[11125]";"1.0";"";""
"cd.[4292]";"cd.[8795]";"1.0";"";""
"cd.[3678]";"cd.[4266]";"1.0";"";""
"cd.[6925]";"cd.[6926]";"0.0";"";""
"cd.[6314]";"cd.[8464]";"1.0";"";""
"cd.[4291]";"cd.[4905]";"0.4285714030265808";"";""
"cd.[6722]";"cd.[7707]";"0.0";"";""
"cd.[8919]";"cd.[9083]";"0.4444444179534912";"";""
"cd.[6562]";"cd.[8870]";"1.0";"";""
"cd.[7606]";"cd.[8538]";"1.0";"";""
"cd.[7671]";"cd.[8759]";"0.0";"";""
"cd.[7920]";"cd.[8494]";"1.0";"";""
"cd.[6382]";"cd.[7920]";"1.0";"";""
"cd.[6382]";"cd.[8494]";"1.0";"";""
"cd.[7542]";"cd.[8823]";"1.0";"";""
"cd.[9333]";"cd.[9450]";"0.1428571343421936";"";""
"cd.[10253]";"cd.[10368]";"1.0";"";""
"cd.[9348]";"cd.[9485]";"1.0";"";""
"cd.[6771]";"cd.[8507]";"1.0";"";""
"cd.[8274]";"cd.[8805]";"1.0";"";""
"cd.[8609]";"cd.[9130]";"0.0";"";""
"cd.[3670]";"cd.[4441]";"1.0";"";""
"cd.[7346]";"cd.[7719]";"1.0";"";""
"cd.[4851]";"cd.[7708]";"1.0";"";""
"cd.[102361]";"cd.[103634]";"1.0";"";""
"cd.[9713]";"cd.[9738]";"0.0";"";""
"cd.[7123]";"cd.[9038]";"0.0";"";""
"cd.[8260]";"cd.[8445]";"1.0";"";""
"cd.[6272]";"cd.[7460]";"1.0";"";""
"cd.[7604]";"cd.[7980]";"1.0";"";""
"cd.[7852]";"cd.[8029]";"1.0";"";""
"cd.[6858]";"cd.[7852]";"0.4444444179534912";"";""
"cd.[6858]";"cd.[8029]";"0.4444444179534912";"";""
"cd.[8043]";"cd.[8234]";"1.0";"";""
"cd.[7134]";"cd.[9695]";"1.0";"";""
"cd.[11150]";"cd.[8901]";"1.0";"";""
"cd.[9421]";"cd.[9489]";"0.8571428656578064";"";""
"cd.[4178]";"cd.[7199]";"1.0";"";""
"cd.[9327]";"cd.[9412]";"0.0";"";""
"cd.[7061]";"cd.[7469]";"0.0";"";""
"cd.[6663]";"cd.[6665]";"0.0";"";""
"cd.[6756]";"cd.[8537]";"1.0";"";""
"cd.[4588]";"cd.[4774]";"1.0";"";""
"cd.[7192]";"cd.[7778]";"0.0";"";""
"cd.[4613]";"cd.[6116]";"0.2222222089767456";"";""
"cd.[5921]";"cd.[8423]";"1.0";"";""
"cd.[8778]";"cd.[9060]";"1.0";"";""
"cd.[5988]";"cd.[8859]";"1.0";"";""
"cd.[107994]";"cd.[108153]";"1.0";"";""
"cd.[6719]";"cd.[8453]";"0.6875";"";""
"cd.[7918]";"cd.[9172]";"0.0";"";""
"cd.[8311]";"cd.[8312]";"0.45454543828964233";"";""
"cd.[5780]";"cd.[5782]";"1.0";"";""
"cd.[5010]";"cd.[5205]";"1.0";"";""
"cd.[8344]";"cd.[9229]";"1.0";"";""
"cd.[2781]";"cd.[9669]";"1.0";"";""
"cd.[3931]";"cd.[5754]";"1.0";"";""
"cd.[6737]";"cd.[7722]";"0.0";"";""
"cd.[7404]";"cd.[7405]";"0.0";"";""
"cd.[2957]";"cd.[3106]";"1.0";"";""
"cd.[8114]";"cd.[8659]";"1.0";"";""
"cd.[8364]";"cd.[8526]";"0.0";"";""
"cd.[3539]";"cd.[4190]";"0.0";"";""
"cd.[4297]";"cd.[4306]";"0.5";"";""
"cd.[8668]";"cd.[8843]";"0.27272725105285645";"";""
"cd.[9588]";"cd.[9811]";"1.0";"";""
"cd.[4709]";"cd.[4710]";"0.0";"";""
"cd.[7344]";"cd.[8291]";"1.0";"";""
"cd.[6547]";"cd.[6741]";"1.0";"";""
"cd.[7622]";"cd.[8349]";"1.0";"";""
"cd.[8368]";"cd.[9076]";"0.3999999761581421";"";""
"cd.[4145]";"cd.[4886]";"1.0";"";""
"cd.[2252]";"cd.[4733]";"1.0";"";""
