First Object;Second Object;similaridade
restaurant.[109];restaurant.[110];0.7964102506637574
restaurant.[13];restaurant.[14];0.9833333373069764
restaurant.[17];restaurant.[18];0.9833333373069764
restaurant.[33];restaurant.[34];0.9833333373069764
restaurant.[57];restaurant.[58];0.7698248863220215
restaurant.[309];restaurant.[375];0.6793566584587097
restaurant.[75];restaurant.[76];0.8448717951774597
restaurant.[91];restaurant.[92];0.8923076868057251
restaurant.[97];restaurant.[98];0.7878917336463929
restaurant.[149];restaurant.[150];0.864102566242218
restaurant.[101];restaurant.[102];0.9064102530479431
restaurant.[107];restaurant.[108];0.9064102530479431
restaurant.[343];restaurant.[443];0.6868027091026306
restaurant.[353];restaurant.[443];0.729974913597107
restaurant.[343];restaurant.[353];0.6797095656394958
restaurant.[145];restaurant.[146];0.8954710245132447
restaurant.[187];restaurant.[188];0.9833333373069764
restaurant.[312];restaurant.[319];0.7384242296218873
restaurant.[380];restaurant.[455];0.7133333325386048
restaurant.[337];restaurant.[363];0.703686261177063
restaurant.[27];restaurant.[28];0.8656862735748291
restaurant.[43];restaurant.[44];0.9833333373069764
restaurant.[67];restaurant.[68];0.9064102530479431
restaurant.[306];restaurant.[89];0.6841953992843628
restaurant.[115];restaurant.[116];0.8958839416503906
restaurant.[137];restaurant.[138];0.8702898621559143
restaurant.[470];restaurant.[87];0.6747435808181763
restaurant.[171];restaurant.[172];0.8684397220611573
restaurant.[173];restaurant.[174];0.9064102530479431
restaurant.[175];restaurant.[176];0.8895833373069764
restaurant.[207];restaurant.[593];0.7653985381126404
restaurant.[180];restaurant.[182];0.9371428489685059
restaurant.[450];restaurant.[95];0.6298717856407166
restaurant.[617];restaurant.[637];0.6745097875595093
restaurant.[223];restaurant.[224];0.9833333373069764
restaurant.[407];restaurant.[485];0.7571428418159485
