"First Object";"Second Object";"Similarity Value";"First Object Data";"Second Object Data"
"cd.[4975]";"cd.[5889]";"1.0";"";""
"cd.[7008]";"cd.[8831]";"1.0";"";""
"cd.[100001]";"cd.[100010]";"0.9642857313156128";"";""
"cd.[3475]";"cd.[8592]";"0.9375";"";""
"cd.[4586]";"cd.[7633]";"0.9411764740943909";"";""
"cd.[8224]";"cd.[8754]";"1.0";"";""
"cd.[4441]";"cd.[8151]";"1.0";"";""
"cd.[3670]";"cd.[4441]";"1.0";"";""
"cd.[4441]";"cd.[7515]";"1.0";"";""
"cd.[3670]";"cd.[8151]";"1.0";"";""
"cd.[7515]";"cd.[8151]";"1.0";"";""
"cd.[3670]";"cd.[7515]";"1.0";"";""
"cd.[10240]";"cd.[7367]";"1.0";"";""
"cd.[5426]";"cd.[7869]";"1.0";"";""
"cd.[4179]";"cd.[4732]";"1.0";"";""
"cd.[4179]";"cd.[4911]";"1.0";"";""
"cd.[4732]";"cd.[4911]";"1.0";"";""
"cd.[3192]";"cd.[7923]";"1.0";"";""
"cd.[4395]";"cd.[8725]";"1.0";"";""
"cd.[6948]";"cd.[7365]";"0.9599999785423279";"";""
"cd.[6339]";"cd.[7517]";"1.0";"";""
"cd.[7852]";"cd.[8029]";"1.0";"";""
"cd.[10383]";"cd.[7852]";"1.0";"";""
"cd.[10230]";"cd.[7852]";"0.9230769276618958";"";""
"cd.[6858]";"cd.[7852]";"0.9230769276618958";"";""
"cd.[10383]";"cd.[8029]";"1.0";"";""
"cd.[10230]";"cd.[8029]";"0.9230769276618958";"";""
"cd.[6858]";"cd.[8029]";"0.9230769276618958";"";""
"cd.[10230]";"cd.[10383]";"0.9230769276618958";"";""
"cd.[10383]";"cd.[6858]";"0.9230769276618958";"";""
"cd.[10230]";"cd.[6858]";"-1.0";"";""
"cd.[7350]";"cd.[8473]";"1.0";"";""
"cd.[10938]";"cd.[11125]";"1.0";"";""
"cd.[10064]";"cd.[2819]";"1.0";"";""
"cd.[4297]";"cd.[4306]";"1.0";"";""
"cd.[4297]";"cd.[8636]";"1.0";"";""
"cd.[4306]";"cd.[8636]";"1.0";"";""
"cd.[6925]";"cd.[6926]";"0.9166666865348816";"";""
"cd.[6314]";"cd.[8464]";"1.0";"";""
"cd.[104733]";"cd.[105907]";"0.9677419662475586";"";""
"cd.[109173]";"cd.[109404]";"0.9090908765792847";"";""
"cd.[4291]";"cd.[4905]";"1.0";"";""
"cd.[6722]";"cd.[7707]";"1.0";"";""
"cd.[3722]";"cd.[8453]";"1.0";"";""
"cd.[6719]";"cd.[8453]";"1.0";"";""
"cd.[3722]";"cd.[6719]";"1.0";"";""
"cd.[7201]";"cd.[8536]";"1.0";"";""
"cd.[7606]";"cd.[8538]";"1.0";"";""
"cd.[7671]";"cd.[8759]";"1.0";"";""
"cd.[7525]";"cd.[8995]";"1.0";"";""
"cd.[7540]";"cd.[7542]";"1.0";"";""
"cd.[7542]";"cd.[8823]";"1.0";"";""
"cd.[7540]";"cd.[8823]";"1.0";"";""
"cd.[6382]";"cd.[7920]";"1.0";"";""
"cd.[7794]";"cd.[8890]";"1.0";"";""
"cd.[8890]";"cd.[9063]";"0.9166666865348816";"";""
"cd.[6802]";"cd.[8890]";"0.9166666865348816";"";""
"cd.[7794]";"cd.[9063]";"0.9166666865348816";"";""
"cd.[6802]";"cd.[7794]";"0.9166666865348816";"";""
"cd.[6802]";"cd.[9063]";"1.0";"";""
"cd.[102024]";"cd.[102960]";"0.9333333373069763";"";""
"cd.[9333]";"cd.[9450]";"0.9375";"";""
"cd.[5477]";"cd.[9076]";"1.0";"";""
"cd.[5477]";"cd.[8368]";"1.0";"";""
"cd.[8368]";"cd.[9076]";"1.0";"";""
"cd.[107347]";"cd.[108216]";"1.0";"";""
"cd.[6771]";"cd.[8507]";"1.0";"";""
"cd.[4843]";"cd.[8794]";"1.0";"";""
"cd.[7346]";"cd.[7719]";"1.0";"";""
"cd.[4851]";"cd.[7708]";"1.0";"";""
"cd.[104610]";"cd.[105320]";"0.9375";"";""
"cd.[4419]";"cd.[7644]";"1.0";"";""
"cd.[102361]";"cd.[103634]";"1.0";"";""
"cd.[5731]";"cd.[8779]";"1.0";"";""
"cd.[7123]";"cd.[9038]";"1.0";"";""
"cd.[6272]";"cd.[7460]";"1.0";"";""
"cd.[7980]";"cd.[9790]";"0.9411764740943909";"";""
"cd.[7604]";"cd.[9790]";"-1.0";"";""
"cd.[7604]";"cd.[7980]";"0.9411764740943909";"";""
"cd.[8043]";"cd.[8234]";"1.0";"";""
"cd.[102406]";"cd.[103696]";"0.9642857313156128";"";""
"cd.[9421]";"cd.[9489]";"1.0";"";""
"cd.[2813]";"cd.[3155]";"0.9090908765792847";"";""
"cd.[105618]";"cd.[106271]";"-1.0";"";""
"cd.[105618]";"cd.[105975]";"0.9230769276618958";"";""
"cd.[105975]";"cd.[106271]";"0.9200000166893005";"";""
"cd.[6740]";"cd.[9193]";"0.9230769276618958";"";""
"cd.[7061]";"cd.[7469]";"1.0";"";""
"cd.[10000]";"cd.[8664]";"1.0";"";""
"cd.[102629]";"cd.[105682]";"1.0";"";""
"cd.[5921]";"cd.[8423]";"1.0";"";""
"cd.[7361]";"cd.[7750]";"1.0";"";""
"cd.[8265]";"cd.[9149]";"1.0";"";""
"cd.[1858]";"cd.[9637]";"1.0";"";""
"cd.[5988]";"cd.[8859]";"1.0";"";""
"cd.[6944]";"cd.[9868]";"1.0";"";""
"cd.[108362]";"cd.[108392]";"0.9333333373069763";"";""
"cd.[6358]";"cd.[9694]";"0.95652174949646";"";""
"cd.[8311]";"cd.[8312]";"1.0";"";""
"cd.[8274]";"cd.[8805]";"1.0";"";""
"cd.[8630]";"cd.[8805]";"1.0";"";""
"cd.[8274]";"cd.[8630]";"1.0";"";""
"cd.[100170]";"cd.[100358]";"1.0";"";""
"cd.[100358]";"cd.[103646]";"1.0";"";""
"cd.[100170]";"cd.[103646]";"1.0";"";""
"cd.[2440]";"cd.[5443]";"1.0";"";""
"cd.[2781]";"cd.[9669]";"1.0";"";""
"cd.[4508]";"cd.[9662]";"1.0";"";""
"cd.[4358]";"cd.[6398]";"0.9583333134651184";"";""
"cd.[8114]";"cd.[8659]";"1.0";"";""
"cd.[2823]";"cd.[4684]";"0.9411764740943909";"";""
"cd.[3539]";"cd.[4190]";"1.0";"";""
"cd.[4348]";"cd.[7170]";"0.9047619104385376";"";""
"cd.[4601]";"cd.[8410]";"0.9090908765792847";"";""
"cd.[8668]";"cd.[8843]";"1.0";"";""
