"First Object";"Second Object";"Similarity Value";"First Object Data";"Second Object Data"
"cd.[4975]";"cd.[5889]";"0.8333333134651184";"";""
"cd.[5577]";"cd.[8990]";"0.9375";"";""
"cd.[104099]";"cd.[109749]";"0.7142857313156128";"";""
"cd.[3475]";"cd.[8592]";"1.0";"";""
"cd.[8224]";"cd.[8754]";"1.0";"";""
"cd.[4124]";"cd.[7722]";"1.0";"";""
"cd.[4124]";"cd.[6737]";"1.0";"";""
"cd.[6737]";"cd.[7722]";"1.0";"";""
"cd.[4179]";"cd.[4732]";"0.800000011920929";"";""
"cd.[4179]";"cd.[4911]";"0.800000011920929";"";""
"cd.[4732]";"cd.[4911]";"1.0";"";""
"cd.[6811]";"cd.[7429]";"1.0";"";""
"cd.[6339]";"cd.[7517]";"1.0";"";""
"cd.[100856]";"cd.[105076]";"0.7857142686843872";"";""
"cd.[100856]";"cd.[102477]";"-1.0";"";""
"cd.[100856]";"cd.[105098]";"-1.0";"";""
"cd.[100856]";"cd.[103398]";"-1.0";"";""
"cd.[100856]";"cd.[104872]";"0.7857142686843872";"";""
"cd.[100856]";"cd.[107734]";"0.7857142686843872";"";""
"cd.[100856]";"cd.[104310]";"0.8571428656578064";"";""
"cd.[100856]";"cd.[105349]";"-1.0";"";""
"cd.[100558]";"cd.[100856]";"0.8571428656578064";"";""
"cd.[100717]";"cd.[100856]";"0.800000011920929";"";""
"cd.[100856]";"cd.[107056]";"-1.0";"";""
"cd.[102477]";"cd.[105076]";"-1.0";"";""
"cd.[105076]";"cd.[105098]";"-1.0";"";""
"cd.[103398]";"cd.[105076]";"-1.0";"";""
"cd.[104872]";"cd.[105076]";"0.9166666865348816";"";""
"cd.[105076]";"cd.[107734]";"0.9090908765792847";"";""
"cd.[104310]";"cd.[105076]";"-1.0";"";""
"cd.[105076]";"cd.[105349]";"-1.0";"";""
"cd.[100558]";"cd.[105076]";"-1.0";"";""
"cd.[100717]";"cd.[105076]";"-1.0";"";""
"cd.[105076]";"cd.[107056]";"-1.0";"";""
"cd.[102477]";"cd.[105098]";"-1.0";"";""
"cd.[102477]";"cd.[103398]";"-1.0";"";""
"cd.[102477]";"cd.[104872]";"0.8333333134651184";"";""
"cd.[102477]";"cd.[107734]";"-1.0";"";""
"cd.[102477]";"cd.[104310]";"-1.0";"";""
"cd.[102477]";"cd.[105349]";"-1.0";"";""
"cd.[100558]";"cd.[102477]";"-1.0";"";""
"cd.[100717]";"cd.[102477]";"-1.0";"";""
"cd.[102477]";"cd.[107056]";"0.7272727489471436";"";""
"cd.[103398]";"cd.[105098]";"0.875";"";""
"cd.[104872]";"cd.[105098]";"-1.0";"";""
"cd.[105098]";"cd.[107734]";"-1.0";"";""
"cd.[104310]";"cd.[105098]";"-1.0";"";""
"cd.[105098]";"cd.[105349]";"-1.0";"";""
"cd.[100558]";"cd.[105098]";"-1.0";"";""
"cd.[100717]";"cd.[105098]";"-1.0";"";""
"cd.[105098]";"cd.[107056]";"0.875";"";""
"cd.[103398]";"cd.[104872]";"-1.0";"";""
