"First Object";"Second Object";"Similarity Value";"First Object Data";"Second Object Data"
"cd.[1858]";"cd.[9637]";"1.0";"";""
"cd.[2004]";"cd.[3710]";"1.0";"";""
"cd.[103002]";"cd.[2004]";"0.9047619104385376";"";""
"cd.[2187]";"cd.[2418]";"1.0";"";""
"cd.[2252]";"cd.[4733]";"1.0";"";""
"cd.[2406]";"cd.[7291]";"1.0";"";""
"cd.[2427]";"cd.[8640]";"0.9375";"";""
"cd.[10314]";"cd.[2427]";"0.9375";"";""
"cd.[2440]";"cd.[5443]";"1.0";"";""
"cd.[2571]";"cd.[9019]";"1.0";"";""
"cd.[2577]";"cd.[2581]";"1.0";"";""
"cd.[2619]";"cd.[4520]";"1.0";"";""
"cd.[2619]";"cd.[6174]";"1.0";"";""
"cd.[2781]";"cd.[9669]";"1.0";"";""
"cd.[2807]";"cd.[7064]";"0.9230769276618958";"";""
"cd.[2813]";"cd.[3155]";"0.9090908765792847";"";""
"cd.[10064]";"cd.[2819]";"1.0";"";""
"cd.[2823]";"cd.[4684]";"0.9411764740943909";"";""
"cd.[2957]";"cd.[3106]";"1.0";"";""
"cd.[3086]";"cd.[3215]";"1.0";"";""
"cd.[3096]";"cd.[3123]";"0.9523809552192688";"";""
"cd.[3159]";"cd.[9969]";"1.0";"";""
"cd.[3192]";"cd.[7923]";"1.0";"";""
"cd.[3222]";"cd.[4451]";"1.0";"";""
"cd.[101375]";"cd.[3296]";"1.0";"";""
"cd.[101423]";"cd.[3296]";"1.0";"";""
"cd.[101440]";"cd.[3296]";"1.0";"";""
"cd.[101687]";"cd.[3296]";"1.0";"";""
"cd.[103936]";"cd.[3296]";"1.0";"";""
"cd.[104193]";"cd.[3296]";"1.0";"";""
"cd.[104417]";"cd.[3296]";"1.0";"";""
"cd.[104995]";"cd.[3296]";"1.0";"";""
"cd.[105042]";"cd.[3296]";"1.0";"";""
"cd.[105591]";"cd.[3296]";"1.0";"";""
"cd.[105654]";"cd.[3296]";"1.0";"";""
"cd.[105868]";"cd.[3296]";"1.0";"";""
"cd.[105953]";"cd.[3296]";"1.0";"";""
"cd.[106218]";"cd.[3296]";"1.0";"";""
"cd.[106350]";"cd.[3296]";"1.0";"";""
"cd.[106357]";"cd.[3296]";"0.9230769276618958";"";""
"cd.[106698]";"cd.[3296]";"0.9230769276618958";"";""
"cd.[106857]";"cd.[3296]";"1.0";"";""
"cd.[107327]";"cd.[3296]";"1.0";"";""
"cd.[107493]";"cd.[3296]";"1.0";"";""
"cd.[107681]";"cd.[3296]";"1.0";"";""
"cd.[107700]";"cd.[3296]";"1.0";"";""
"cd.[109172]";"cd.[3296]";"1.0";"";""
"cd.[109605]";"cd.[3296]";"1.0";"";""
"cd.[3356]";"cd.[6955]";"1.0";"";""
"cd.[3383]";"cd.[6969]";"0.9545454382896423";"";""
"cd.[3475]";"cd.[8592]";"0.9375";"";""
"cd.[10061]";"cd.[3517]";"1.0";"";""
"cd.[3529]";"cd.[4114]";"1.0";"";""
"cd.[3539]";"cd.[4190]";"1.0";"";""
"cd.[3670]";"cd.[4441]";"1.0";"";""
"cd.[3670]";"cd.[7515]";"1.0";"";""
"cd.[3670]";"cd.[8151]";"1.0";"";""
"cd.[3678]";"cd.[4266]";"1.0";"";""
"cd.[3678]";"cd.[6690]";"1.0";"";""
"cd.[103002]";"cd.[3710]";"0.9047619104385376";"";""
"cd.[3722]";"cd.[6719]";"1.0";"";""
"cd.[3722]";"cd.[8453]";"1.0";"";""
"cd.[3792]";"cd.[8891]";"0.95652174949646";"";""
"cd.[3931]";"cd.[5754]";"1.0";"";""
"cd.[4178]";"cd.[7199]";"1.0";"";""
"cd.[4178]";"cd.[8683]";"1.0";"";""
"cd.[4179]";"cd.[4732]";"1.0";"";""
"cd.[4179]";"cd.[4911]";"1.0";"";""
"cd.[4184]";"cd.[6950]";"0.9375";"";""
"cd.[4266]";"cd.[6690]";"1.0";"";""
"cd.[4291]";"cd.[4905]";"1.0";"";""
"cd.[4292]";"cd.[8795]";"1.0";"";""
"cd.[4297]";"cd.[4306]";"1.0";"";""
"cd.[4297]";"cd.[8636]";"1.0";"";""
"cd.[4306]";"cd.[8636]";"1.0";"";""
"cd.[4348]";"cd.[7170]";"0.9047619104385376";"";""
"cd.[4358]";"cd.[6398]";"0.9583333134651184";"";""
"cd.[4384]";"cd.[5657]";"1.0";"";""
"cd.[4395]";"cd.[8725]";"1.0";"";""
"cd.[4419]";"cd.[7644]";"1.0";"";""
"cd.[4441]";"cd.[7515]";"1.0";"";""
"cd.[4441]";"cd.[8151]";"1.0";"";""
"cd.[4481]";"cd.[6716]";"1.0";"";""
"cd.[4490]";"cd.[7121]";"1.0";"";""
"cd.[4508]";"cd.[9662]";"1.0";"";""
"cd.[4520]";"cd.[6174]";"1.0";"";""
"cd.[4586]";"cd.[7633]";"0.9411764740943909";"";""
"cd.[4588]";"cd.[4774]";"1.0";"";""
"cd.[4601]";"cd.[8410]";"0.9090908765792847";"";""
"cd.[4613]";"cd.[6116]";"0.95652174949646";"";""
