"First Object";"Second Object";"Similarity Value";"First Object Data";"Second Object Data"
"cd.[4975]";"cd.[5889]";"0.9791666567325592";"";""
"cd.[5577]";"cd.[8990]";"1.0";"";""
"cd.[102987]";"cd.[105760]";"1.0";"";""
"cd.[102987]";"cd.[107779]";"1.0";"";""
"cd.[102987]";"cd.[105156]";"1.0";"";""
"cd.[100083]";"cd.[102987]";"1.0";"";""
"cd.[102987]";"cd.[107056]";"1.0";"";""
"cd.[105760]";"cd.[107779]";"-1.0";"";""
"cd.[105156]";"cd.[105760]";"1.0";"";""
"cd.[100083]";"cd.[105760]";"-1.0";"";""
"cd.[105760]";"cd.[107056]";"-1.0";"";""
"cd.[105156]";"cd.[107779]";"1.0";"";""
"cd.[100083]";"cd.[107779]";"-1.0";"";""
"cd.[107056]";"cd.[107779]";"-1.0";"";""
"cd.[100083]";"cd.[105156]";"1.0";"";""
"cd.[105156]";"cd.[107056]";"1.0";"";""
"cd.[100083]";"cd.[107056]";"1.0";"";""
"cd.[8224]";"cd.[8754]";"1.0";"";""
"cd.[4124]";"cd.[7722]";"1.0";"";""
"cd.[4124]";"cd.[6737]";"1.0";"";""
"cd.[6737]";"cd.[7722]";"1.0";"";""
"cd.[4732]";"cd.[4911]";"1.0";"";""
"cd.[6811]";"cd.[7429]";"1.0";"";""
"cd.[6339]";"cd.[7517]";"1.0";"";""
"cd.[7653]";"cd.[7852]";"0.9666666686534882";"";""
"cd.[7653]";"cd.[8029]";"1.0";"";""
"cd.[10383]";"cd.[7653]";"1.0";"";""
"cd.[10230]";"cd.[7653]";"0.9333333373069763";"";""
"cd.[6858]";"cd.[7653]";"0.9333333373069763";"";""
"cd.[7852]";"cd.[8029]";"0.9666666686534882";"";""
"cd.[10383]";"cd.[7852]";"0.9666666686534882";"";""
"cd.[10230]";"cd.[7852]";"0.9666666686534882";"";""
"cd.[6858]";"cd.[7852]";"0.9666666686534882";"";""
"cd.[10383]";"cd.[8029]";"1.0";"";""
"cd.[10230]";"cd.[8029]";"0.9333333373069763";"";""
"cd.[6858]";"cd.[8029]";"0.9333333373069763";"";""
"cd.[10230]";"cd.[10383]";"0.9333333373069763";"";""
"cd.[10383]";"cd.[6858]";"0.9333333373069763";"";""
"cd.[10230]";"cd.[6858]";"1.0";"";""
"cd.[10064]";"cd.[2819]";"1.0";"";""
"cd.[6314]";"cd.[8464]";"0.8928571343421936";"";""
"cd.[6722]";"cd.[7707]";"1.0";"";""
"cd.[3722]";"cd.[8453]";"0.9423076808452606";"";""
"cd.[6719]";"cd.[8453]";"0.9615384638309479";"";""
"cd.[3722]";"cd.[6719]";"0.9791666567325592";"";""
"cd.[101756]";"cd.[102013]";"1.0";"";""
"cd.[7606]";"cd.[8538]";"1.0";"";""
"cd.[101821]";"cd.[105944]";"-1.0";"";""
"cd.[103846]";"cd.[105944]";"1.0";"";""
"cd.[101821]";"cd.[103846]";"1.0";"";""
"cd.[100054]";"cd.[100856]";"-1.0";"";""
"cd.[100054]";"cd.[105076]";"1.0";"";""
"cd.[100054]";"cd.[104310]";"-1.0";"";""
"cd.[100856]";"cd.[105076]";"-1.0";"";""
"cd.[100856]";"cd.[104310]";"0.949999988079071";"";""
"cd.[104310]";"cd.[105076]";"0.9000000059604645";"";""
"cd.[7671]";"cd.[8759]";"1.0";"";""
"cd.[5360]";"cd.[8430]";"0.9390243887901306";"";""
"cd.[7540]";"cd.[7542]";"0.8529411554336548";"";""
"cd.[7542]";"cd.[8823]";"0.9259259104728699";"";""
"cd.[7540]";"cd.[8823]";"0.8676470518112183";"";""
"cd.[7920]";"cd.[8494]";"0.9285714328289032";"";""
"cd.[6382]";"cd.[7920]";"1.0";"";""
"cd.[6382]";"cd.[8494]";"0.9285714328289032";"";""
"cd.[103888]";"cd.[108274]";"1.0";"";""
"cd.[9348]";"cd.[9485]";"0.9722222089767456";"";""
"cd.[5477]";"cd.[9076]";"1.0";"";""
"cd.[5477]";"cd.[8368]";"1.0";"";""
"cd.[8368]";"cd.[9076]";"1.0";"";""
"cd.[5664]";"cd.[8717]";"1.0";"";""
"cd.[104610]";"cd.[105320]";"1.0";"";""
"cd.[4419]";"cd.[7644]";"1.0";"";""
"cd.[102361]";"cd.[103634]";"0.9516128897666931";"";""
"cd.[5731]";"cd.[8779]";"1.0";"";""
"cd.[101564]";"cd.[108252]";"1.0";"";""
"cd.[7980]";"cd.[9790]";"0.96875";"";""
"cd.[7604]";"cd.[9790]";"1.0";"";""
"cd.[7604]";"cd.[7980]";"0.96875";"";""
"cd.[2813]";"cd.[3155]";"1.0";"";""
"cd.[7061]";"cd.[7469]";"1.0";"";""
"cd.[5921]";"cd.[8423]";"1.0";"";""
"cd.[5988]";"cd.[8859]";"1.0";"";""
"cd.[6358]";"cd.[9694]";"1.0";"";""
"cd.[5010]";"cd.[5205]";"1.0";"";""
"cd.[2139]";"cd.[3296]";"1.0";"";""
"cd.[2440]";"cd.[5443]";"1.0";"";""
"cd.[2781]";"cd.[9669]";"1.0";"";""
"cd.[4508]";"cd.[9662]";"1.0";"";""
"cd.[5025]";"cd.[9863]";"1.0";"";""
"cd.[8114]";"cd.[8659]";"1.0";"";""
"cd.[4297]";"cd.[4306]";"0.9666666686534882";"";""
"cd.[4297]";"cd.[8636]";"1.0";"";""
"cd.[4306]";"cd.[8636]";"0.9666666686534882";"";""
"cd.[103663]";"cd.[103676]";"1.0";"";""
"cd.[103663]";"cd.[103672]";"1.0";"";""
"cd.[103672]";"cd.[103676]";"-1.0";"";""
"cd.[2807]";"cd.[7064]";"1.0";"";""
"cd.[6316]";"cd.[7311]";"1.0";"";""
"cd.[8890]";"cd.[9063]";"1.0";"";""
"cd.[6802]";"cd.[8890]";"1.0";"";""
"cd.[6802]";"cd.[9063]";"1.0";"";""
"cd.[10314]";"cd.[2427]";"0.96875";"";""
"cd.[10314]";"cd.[8640]";"1.0";"";""
"cd.[2427]";"cd.[8640]";"0.96875";"";""
"cd.[9614]";"cd.[9678]";"1.0";"";""
"cd.[3678]";"cd.[4266]";"1.0";"";""
"cd.[4266]";"cd.[6690]";"1.0";"";""
"cd.[3678]";"cd.[6690]";"1.0";"";""
"cd.[8919]";"cd.[9083]";"1.0";"";""
"cd.[7859]";"cd.[9798]";"1.0";"";""
"cd.[7037]";"cd.[7237]";"1.0";"";""
"cd.[4676]";"cd.[5746]";"0.875";"";""
"cd.[8274]";"cd.[8805]";"1.0";"";""
"cd.[102762]";"cd.[103690]";"1.0";"";""
