elemento1;elemento2;qtdAlg;min;max;med;duplicata
5477;9076;3;0.9833333343267441;1.0;0.9895061734649869;1.0
6663;6665;4;0.9056261377087955;0.9901315830647947;0.9632071031228964;1.0
6756;8537;5;0.9441269569926791;0.9821428507566452;0.9581201260145825;1.0
6413;7975;4;0.9500000029802322;1.0;0.9652777798473835;1.0
4179;4732;4;0.8461538441479207;0.9481481512387594;0.9118471059741245;1.0
6948;7365;4;0.9030172413793104;0.9869791666666666;0.9535473817638283;1.0
107994;108153;2;0.8829410212735336;0.9031236038125795;0.8930323125430566;0.0
3395;5122;2;0.8632936552166939;1.0;0.9316468276083469;1.0
103676;104424;1;0.8186011885603269;0.8186011885603269;0.8186011885603269;0.0
10383;8029;1;1.0;1.0;1.0;1.0
10383;7852;1;1.0;1.0;1.0;1.0
6382;7920;6;0.9375;1.0;0.9629629629629629;1.0
7344;8291;5;0.9046875014901161;0.9440789421399435;0.9222888274496542;1.0
103832;109732;1;0.8262061439454557;0.8262061439454557;0.8262061439454557;0.0
8364;8526;5;0.9137931034482759;1.0;0.9736316332986071;1.0
2366;2367;1;0.8974073926607767;0.8974073926607767;0.8974073926607767;1.0
100810;105094;2;0.8437500037252903;0.8690476218859354;0.8563988128056128;0.0
5204;7514;2;0.8819444452722868;1.0;0.9409722226361434;1.0
11530;5099;1;1.0;1.0;1.0;1.0
8306;8663;1;0.9666666686534882;0.9666666686534882;0.9666666686534882;1.0
2619;6174;7;0.96875;1.0;0.9751984126984127;1.0
6925;6926;4;0.9015663800568415;0.9852260425686836;0.9627860750489193;1.0
5664;8717;7;1.0;1.0;1.0;1.0
7515;7769;2;0.9071759258707365;1.0;0.9535879629353683;1.0
4490;7121;1;0.8888888855775198;0.8888888855775198;0.8888888855775198;1.0
7540;8823;3;0.8667763099074365;0.9163879553476969;0.8859153994255595;1.0
5731;8779;1;1.0;1.0;1.0;1.0
4441;7515;1;1.0;1.0;1.0;1.0
8260;8445;4;0.9091269903712802;0.9496715911503497;0.9314655191354253;1.0
6992;7802;3;0.8275556614001592;0.9333333373069763;0.8888148549530243;1.0
5835;9278;6;1.0;1.0;1.0;1.0
101613;108771;1;0.8511029444634916;0.8511029444634916;0.8511029444634916;0.0
2427;8640;3;0.9555921107530594;0.9895833308498064;0.967641326840277;1.0
100832;109238;1;0.8374999966472387;0.8374999966472387;0.8374999966472387;0.0
7192;7778;5;0.9137931034482759;1.0;0.9827586206896551;1.0
6944;9868;3;0.9607142880558969;0.9841269784503512;0.9756613724209644;1.0
6354;8424;2;0.8172619069616;0.9833333343267441;0.900297620644172;1.0
3159;9969;2;0.9947916716337204;0.9953703747855293;0.9950810232096248;1.0
4297;8636;1;1.0;1.0;1.0;1.0
8368;9076;4;0.948275860013633;1.0;0.9791985951021485;1.0
3356;6955;1;1.0;1.0;1.0;1.0
5025;9863;3;0.8791666626930237;0.9761904776096344;0.919642855723699;1.0
10107;7341;1;1.0;1.0;1.0;1.0
7653;7852;2;0.9316239356994629;0.9444444477558136;0.9380341917276382;1.0
7542;8823;3;0.8953488369782766;0.9749721966940782;0.9466930348925664;1.0
7653;8029;2;0.9316239356994629;0.9444444477558136;0.9380341917276382;1.0
4266;6690;1;1.0;1.0;1.0;1.0
109053;109245;1;1.0;1.0;1.0;0.0
2004;3710;2;1.0;1.0;1.0;1.0
10383;6858;7;0.9259259303410848;0.9666666686534882;0.9359454035404182;1.0
3192;7923;7;0.9749999940395355;1.0;0.9801587254282028;1.0
4441;8151;4;0.9029720276594162;0.9353146851062775;0.9154738495126367;1.0
10000;8664;4;0.9131944477558136;0.9517663046717644;0.9324824733452665;1.0
6858;7852;8;0.9199909845302845;0.9666666686534882;0.9367084539409769;1.0
6858;8029;8;0.9199909845302845;0.9666666686534882;0.9367084539409769;1.0
4588;4774;2;0.9523809552192688;0.9605911353538776;0.9564860452865732;1.0
5394;5418;3;0.9687499962747098;1.0;0.9843749987582365;1.0
10449;6162;7;0.9464285746216774;1.0;0.9923469392316682;1.0
