elemento1;elemento2;qtdAlg;min;max;med;duplicata
5477;9076;4;0.9833333343267441;0.991666667163372;0.9879528992687878;1.0
6663;6665;4;0.9772727191448212;0.9886363595724107;0.9835721285122893;1.0
102477;107734;1;0.7297430789988975;0.7297430789988975;0.7297430789988975;0.0
6756;8537;5;0.9480952123800913;0.9723214153200389;0.9588576412773218;1.0
100717;104310;1;0.8457557040712108;0.8457557040712108;0.8457557040712108;0.0
6413;7975;7;0.8457222917805547;1.0;0.9510020819371162;1.0
104289;3710;1;0.7931643257970397;0.7931643257970397;0.7931643257970397;0.0
102477;107056;1;0.8003952632779661;0.8003952632779661;0.8003952632779661;0.0
4179;4732;7;0.9000000059604645;0.9611111134290696;0.9387738706840986;1.0
6948;7365;4;0.9660455403120621;0.9783296138048172;0.9701038809574168;1.0
3395;5122;3;0.8573499010956805;1.0;0.9182733808360669;1.0
100558;100856;1;0.8342965685802959;0.8342965685802959;0.8342965685802959;0.0
104872;107056;1;0.7688060636105745;0.7688060636105745;0.7688060636105745;0.0
104310;105349;1;0.6611592484557111;0.6611592484557111;0.6611592484557111;0.0
6382;7920;6;0.9375;0.9687500000000001;0.9559933574879228;1.0
7344;8291;6;0.9161184132099152;0.9580592066049577;0.9409384479485273;1.0
103832;109732;1;0.8608695631441864;0.8608695631441864;0.8608695631441864;0.0
8364;8526;6;0.8064182322958242;0.9910714253783227;0.9542572436953224;1.0
2366;2367;4;0.8710145017375117;0.9091787338256836;0.8937520052211871;1.0
100558;102477;1;0.7000822036162666;0.7000822036162666;0.7000822036162666;0.0
100810;105094;2;0.8633540402288024;0.8690476218859354;0.8662008310573689;0.0
5204;7514;3;0.876811595066734;1.0;0.9294233096736497;1.0
104872;107734;1;0.8281102880187656;0.8281102880187656;0.8281102880187656;0.0
103398;105349;1;0.7705859438232754;0.7705859438232754;0.7705859438232754;0.0
101555;108876;1;0.8224919464277185;0.8224919464277185;0.8224919464277185;0.0
8306;8663;2;0.8030303094698035;0.9666666686534882;0.8848484890616458;1.0
2619;6174;4;0.96875;0.9843750000000001;0.9774116847826088;1.0
5574;7562;2;0.8217391345811929;0.8217391345811929;0.8217391345811929;1.0
4563;5122;1;0.8110765970271567;0.8110765970271567;0.8110765970271567;1.0
6925;6926;4;0.9637681245803833;0.9930555652827024;0.9815821348203589;1.0
7515;7769;3;0.9227053186167842;1.0;0.955716588790866;1.0
5664;8717;4;0.8418972284897513;1.0;0.9604743071224379;1.0
4490;7121;3;0.884057967559151;0.8888888855775198;0.8856682735652739;1.0
103424;104842;1;0.801550971425098;0.801550971425098;0.801550971425098;0.0
100717;105076;1;0.7244306336278501;0.7244306336278501;0.7244306336278501;0.0
7540;8823;5;0.8745819330215454;0.9372909665107727;0.9107532305993896;1.0
100558;105076;1;0.7217036744822627;0.7217036744822627;0.7217036744822627;0.0
8260;8445;5;0.90625;0.950372027233243;0.9286656782085048;1.0
6992;7802;5;0.8501035286032637;0.9432291723787786;0.9050916667973651;1.0
102477;105098;1;0.7187637272088424;0.7187637272088424;0.7187637272088424;0.0
5835;9278;4;0.9637681116228518;1.0;0.990942027905713;1.0
2427;8640;4;0.9528032074803892;0.9777960535138847;0.9638247311155758;1.0
7192;7778;5;1.0;1.0;1.0;1.0
6944;9868;4;0.9821428507566452;0.9910714253783227;0.9870923866882273;1.0
104145;109608;1;0.7155430316925049;0.7155430316925049;0.7155430316925049;0.0
6354;8424;3;0.8536231880602629;0.9666666686534882;0.9050271743773551;1.0
3159;9969;4;0.9947916716337204;0.9973958358168602;0.9962352843874175;1.0
100717;100856;1;0.8278985541799794;0.8278985541799794;0.8278985541799794;0.0
8368;9076;4;0.9833333343267441;0.991666667163372;0.9879528992687878;1.0
105518;109651;1;0.8205840717191282;0.8205840717191282;0.8205840717191282;0.0
5025;9863;6;0.8791666626930237;0.9383928552269936;0.9057733737796113;1.0
100558;104872;1;0.7472902121751205;0.7472902121751205;0.7472902121751205;0.0
100717;102477;1;0.6107142852700276;0.6107142852700276;0.6107142852700276;0.0
102477;104310;1;0.6041722971460094;0.6041722971460094;0.6041722971460094;0.0
7653;7852;4;0.8944630311883014;0.9331597238779068;0.9165628809967766;1.0
7542;8823;4;0.8907987864121147;0.9215116277337074;0.8996145093840534;1.0
7653;8029;4;0.8944630311883014;0.9331597238779068;0.9165628809967766;1.0
109053;109245;2;0.8559006206367327;1.0;0.9279503103183664;0.0
2004;3710;3;1.0;1.0;1.0;1.0
4441;8151;6;0.9029720276594162;0.9514860138297082;0.9316819953205794;1.0
10383;6858;4;0.9236039286074432;0.9625000022351743;0.9415536051940012;1.0
3192;7923;4;0.9749999940395355;0.9874999970197679;0.9819293435177078;1.0
100558;100717;1;0.7387041890102884;0.7387041890102884;0.7387041890102884;0.0
10000;8664;6;0.9131944477558136;0.9565972238779069;0.9364642067160008;1.0
6858;7852;4;0.9236039286074432;0.9625000022351743;0.9415536051940012;1.0
6858;8029;4;0.9236039286074432;0.9625000022351743;0.9415536051940012;1.0
4588;4774;2;0.8115941959878674;0.8645833283662797;0.8380887621770736;1.0
102514;104500;1;0.8320393406826518;0.8320393406826518;0.8320393406826518;0.0
5394;5418;4;0.9864130434782609;1.0;0.9966032608695652;1.0
5371;5959;2;0.8309178663336713;0.8309178663336713;0.8309178663336713;1.0
10449;6162;4;0.9456521739130435;1.0;0.9864130434782609;1.0
100500;103069;1;0.8014032633408257;0.8014032633408257;0.8014032633408257;0.0
6102;9115;4;0.9516908241354901;1.0;0.9879227060338726;1.0
3539;4190;4;0.984375;0.9921875;0.9887058423913044;1.0
103830;104396;1;0.8171683290730353;0.8171683290730353;0.8171683290730353;0.0
104872;105349;1;0.720703933549964;0.720703933549964;0.720703933549964;0.0
11423;11538;3;0.933260871016461;0.9799999892711639;0.9550973704435687;1.0
103997;2004;1;0.842486656230429;0.842486656230429;0.842486656230429;0.0
100170;100358;4;0.9500000029802322;0.9750000014901162;0.9638586978063636;0.0
100717;104872;1;0.7387163664983667;0.7387163664983667;0.7387163664983667;0.0
7525;8995;5;0.8812499940395355;0.9406249970197679;0.9154981841643652;1.0
6802;8890;4;0.95383023697397;0.9824404772371055;0.9691802580112026;1.0
101502;104396;1;0.8327759296997733;0.8327759296997733;0.8327759296997733;0.0
3792;8891;7;0.8938405811786652;0.9411458354443312;0.9132361279812102;1.0
104145;109714;1;0.8115942063538926;0.8115942063538926;0.8115942063538926;0.0
4124;6737;4;0.8136645814646846;1.0;0.9067109823226929;1.0
104789;105642;1;0.8030690550804138;0.8030690550804138;0.8030690550804138;0.0
2771;5458;5;0.9791666567325592;0.9947916641831398;0.990564609027427;1.0
10383;7653;4;0.8944630311883014;0.9331597238779068;0.9165628809967766;1.0
10119;7664;5;0.9375;0.9713541697710754;0.9581649021124063;1.0
7123;9038;4;0.960526317358017;0.9802631586790086;0.9714673924381318;1.0
3670;7515;7;0.9347826242446899;0.9680706560611726;0.95214325788105;1.0
105016;107434;2;0.8230676320583924;1.0;0.9115338160291961;0.0
100856;102477;1;0.6821005033410115;0.6821005033410115;0.6821005033410115;0.0
102477;105349;1;0.6662055357642795;0.6662055357642795;0.6662055357642795;0.0
7540;7542;4;0.8357315063476562;0.8819320201873779;0.8489927649497986;1.0
100558;107734;1;0.7422193910764612;0.7422193910764612;0.7422193910764612;0.0
7622;8349;7;0.9117647111415863;0.9690126031637193;0.9499919517872002;1.0
4124;7722;4;0.8136645814646846;1.0;0.9067109823226929;1.0
4184;6950;6;0.8789682569711106;0.9509548656642438;0.9189230459449803;1.0
4145;4886;6;0.8588368167047915;1.0;0.9715189555983829;1.0
7731;9868;5;0.7749559283256531;0.9000000059604645;0.8318445812910795;1.0
3670;7769;3;0.8782818835714591;0.9347826242446899;0.908526537211045;1.0
11006;11008;3;0.8405797131683516;1.0;0.908665460669368;1.0
100558;107056;1;0.6923638841380244;0.6923638841380244;0.6923638841380244;0.0
105723;107973;1;0.8500749650208848;0.8500749650208848;0.8500749650208848;0.0
4843;8794;4;0.9666666686534882;0.9833333343267442;0.9759057985375756;1.0
9588;9811;4;0.96875;0.9843750000000001;0.9774116847826088;1.0
11150;8901;4;0.9703557335812113;1.0;0.9925889333953029;1.0
103997;104289;1;0.8173651565676151;0.8173651565676151;0.8173651565676151;0.0
6798;9068;1;0.8159362534061074;0.8159362534061074;0.8159362534061074;1.0
4895;9209;4;0.9642857164144516;0.9821428582072258;0.9741847841474025;1.0
4676;8097;1;0.8408638912698497;0.8408638912698497;0.8408638912698497;1.0
3670;8151;6;0.8513986021280289;0.9256993010640144;0.8953688225128512;1.0
102477;103398;1;0.740008786968563;0.740008786968563;0.740008786968563;0.0
4384;5657;1;1.0;1.0;1.0;1.0
100856;104872;1;0.8146527383638466;0.8146527383638466;0.8146527383638466;0.0
7794;9063;6;0.888293668627739;0.9476190488785508;0.9186781171286381;1.0
11531;6210;3;0.8434782611287158;1.0;0.9103260871049934;1.0
7794;8890;6;0.9299242496490479;0.964962124824524;0.9506592240886412;1.0
1858;9637;3;1.0;1.0;1.0;1.0
100558;104310;1;0.7559342591658883;0.7559342591658883;0.7559342591658883;0.0
4441;7769;3;0.9227053186167842;1.0;0.955716588790866;1.0
4419;7644;4;0.984375;0.9921875;0.9887058423913044;1.0
4613;6116;4;0.973534977954367;0.9867527168244125;0.9800293917119828;1.0
2406;7291;4;0.9891304321911024;1.0;0.9972826080477756;1.0
2187;2418;3;1.0;1.0;1.0;1.0
2823;4684;7;0.9090557247400284;0.9594298228621484;0.9340712416523732;1.0
101564;108252;2;0.8680124153261599;0.9821428507566452;0.9250776330414026;0.0
10314;2427;2;0.8948321964429773;0.9399671107530594;0.9173996535980183;1.0
104310;104872;1;0.7326491993406544;0.7326491993406544;0.7326491993406544;0.0
5426;6761;4;0.744927509971287;0.8999999947845936;0.8389492641891475;1.0
101462;109608;1;0.8517694576926854;0.8517694576926854;0.8517694576926854;0.0
2188;8063;8;0.9202898403872615;1.0;0.9765013545663838;1.0
7288;7483;4;0.9154589357583419;1.0;0.9788647339395855;1.0
6382;8494;4;0.939958595711252;0.9930555652827024;0.9736952279775363;1.0
101021;104117;1;0.8161671731782997;0.8161671731782997;0.8161671731782997;0.0
7201;8536;1;1.0;1.0;1.0;1.0
6562;8870;4;0.8478260895480281;1.0;0.9417176154320654;1.0
6858;7653;4;0.8180669597957446;0.8956597261130811;0.8565624850680646;1.0
2026;4601;3;0.9130434834438822;1.0;0.9501811623897242;1.0
5830;8888;2;0.8101175764332648;0.8101175764332648;0.8101175764332648;1.0
9327;9412;4;0.8737727947857069;1.0;0.9684431986964267;1.0
100558;105098;1;0.6041133714758832;0.6041133714758832;0.6041133714758832;0.0
109495;109674;1;0.8079710110374119;0.8079710110374119;0.8079710110374119;0.0
5542;6695;6;0.8939740554146145;0.9635416753590107;0.9377059321130675;1.0
100054;103056;1;0.8132505183634552;0.8132505183634552;0.8132505183634552;0.0
104310;105076;1;0.7891799470652705;0.7891799470652705;0.7891799470652705;0.0
105076;105098;1;0.7099802390388821;0.7099802390388821;0.7099802390388821;0.0
100558;105349;1;0.6610289967578391;0.6610289967578391;0.6610289967578391;0.0
103398;105076;1;0.759197323218636;0.759197323218636;0.759197323218636;0.0
7769;8151;2;0.8552075987276825;0.8959304615855218;0.8755690301566021;1.0
2577;2581;4;0.9833333343267441;0.991666667163372;0.9879528992687878;1.0
1838;7934;3;0.9171842699465544;0.940476194024086;0.9260984631120296;1.0
10230;7653;4;0.8378298127132914;0.9112847298383714;0.874316449560549;1.0
4975;5889;4;0.9583333283662796;0.9791666641831399;0.9698822427864957;1.0
7898;8422;1;0.8288474989973981;0.8288474989973981;0.8288474989973981;1.0
10314;8640;2;0.9420289889625881;1.0;0.9710144944812941;1.0
109608;109714;2;0.8110367940819783;0.8641826957464218;0.8376097449142;0.0
3134;6210;3;0.8937198130980781;1.0;0.9391103095874406;1.0
1884;9542;4;0.9450483114823053;0.9605034738779069;0.9500569289253242;1.0
6922;9161;7;0.9000000059604645;0.9522727280855179;0.9281055918946769;1.0
7980;9790;4;0.9552734157313472;0.9832589384168386;0.968251199927181;1.0
101502;103830;1;0.8212560415267945;0.8212560415267945;0.8212560415267945;0.0
7460;8578;1;0.8008657901183419;0.8008657901183419;0.8008657901183419;1.0
7920;8494;6;0.8964803348416869;0.9618055652827026;0.9345767840806053;1.0
7363;8118;4;0.9772727191448212;0.9886363595724107;0.9835721285122893;1.0
100856;105098;1;0.6640316196109938;0.6640316196109938;0.6640316196109938;0.0
102666;105709;1;0.9744245558977127;0.9744245558977127;0.9744245558977127;0.0
103056;105956;1;0.6928916521694349;0.6928916521694349;0.6928916521694349;0.0
1818;7075;3;0.8763888875643412;0.9186197910457851;0.8939280133550439;1.0
3757;6377;6;0.8207005780676138;0.9251738693565131;0.8823482198010825;1.0
101462;104145;1;0.6860681875892308;0.6860681875892308;0.6860681875892308;0.0
6761;7869;4;0.744927509971287;0.8999999947845936;0.8389492641891475;1.0
3395;4563;1;0.6738095166890518;0.6738095166890518;0.6738095166890518;1.0
101462;109714;1;0.7845298310984736;0.7845298310984736;0.7845298310984736;0.0
4586;7633;4;0.9586142716200456;0.9730113558471204;0.964160761795938;1.0
5776;9008;2;0.8469565225684125;0.8469565225684125;0.8469565225684125;1.0
3383;6969;7;0.894173875451088;0.9601190518587829;0.9307191284724335;1.0
6944;7731;5;0.9000000059604645;0.9608630985021591;0.938742673440256;1.0
5238;8297;4;0.9404074005458667;0.9628496505320073;0.9499990419768122;1.0
11531;3134;3;0.8739130406276039;1.0;0.9277626795262314;1.0
102361;103634;4;0.9516128897666931;0.9758064448833467;0.965024534450925;0.0
100717;105349;1;0.6293995613637179;0.6293995613637179;0.6293995613637179;0.0
2139;3296;4;0.8062547704447871;0.9166666567325592;0.8644418009232891;1.0
104310;105098;1;0.5781460948612379;0.5781460948612379;0.5781460948612379;0.0
105076;107734;1;0.8438735111899999;0.8438735111899999;0.8438735111899999;0.0
10230;10383;4;0.94336678152499;0.9781250059604646;0.9596232284346353;1.0
2317;4988;6;0.8096555600995604;0.9636363610625267;0.9209548890554674;1.0
3529;4114;4;0.9880952388048172;0.9940476194024086;0.9913949280491341;1.0
8609;9130;4;0.956521741721941;1.0;0.9891304354304853;1.0
101515;101521;1;0.8108695641807888;0.8108695641807888;0.8108695641807888;0.0
105098;107734;1;0.7099802390388821;0.7099802390388821;0.7099802390388821;0.0
104099;109749;1;0.8032036682833796;0.8032036682833796;0.8032036682833796;0.0
6358;9694;4;0.9677184872005297;0.9825721140950918;0.9739856942880737;1.0
10312;9807;3;0.8774154613847318;1.0;0.9297692747516693;1.0
