elemento1;elemento2;title;authors;venue;year
304578;journals/sigmod/Mackay99;0.550000011920929;0.5023809671401978;0.5527864098548889;1.0
333609;journals/sigmod/Mackay99;0.5272727012634277;0.5038910508155823;0.722649872303009;1.0
309870;journals/sigmod/Mackay99;0.5454545021057129;0.504273533821106;0.722649872303009;1.0
309852;journals/sigmod/Mackay99;0.9590908885002136;1.0;0.722649872303009;1.0
673462;journals/sigmod/Mackay99;0.5227272510528564;0.5049505233764648;0.45227742195129395;0.875
219769;journals/sigmod/Mackay99;0.5454545021057129;0.5;0.722649872303009;0.875
187454;journals/sigmod/Mackay99;0.5272727012634277;0.5016611218452454;0.722649872303009;0.875
187449;journals/sigmod/Mackay99;0.5045454502105713;0.5016611218452454;0.722649872303009;0.875
181562;journals/sigmod/Mackay99;0.5136363506317139;0.501655638217926;0.722649872303009;0.875
181560;journals/sigmod/Mackay99;0.5272727012634277;0.5;0.722649872303009;0.875
253294;journals/sigmod/Mackay99;0.5727272629737854;0.5;0.5527864098548889;0.875
671491;conf/vldb/PoosalaI96;0.5879120826721191;0.5583333373069763;0.4576738476753235;0.875
673638;conf/vldb/PoosalaI96;0.5659340620040894;1.0;0.4576738476753235;0.875
673321;conf/vldb/PoosalaI96;1.0;1.0;0.4576738476753235;1.0
507358;conf/vldb/PalpanasSCP02;0.5150753855705261;0.5071429014205933;0.3675444722175598;1.0
565127;conf/vldb/PalpanasSCP02;0.5091911554336548;0.5071429014205933;0.3675444722175598;1.0
673484;conf/vldb/GardarinGT96;1.0;0.5588235259056091;0.4576738476753235;1.0
233360;conf/vldb/GardarinGT96;0.5388889312744141;0.5103448629379272;0.565041184425354;1.0
672963;conf/vldb/GardarinGT96;0.7055555582046509;0.5;0.4576738476753235;0.875
673135;conf/vldb/HoelS95;1.0;1.0;0.4576738476753235;1.0
672823;conf/vldb/HoelS95;0.5357142686843872;1.0;0.4576738476753235;0.875
304219;conf/sigmod/Keim99;0.9621211886405945;1.0;0.6127016544342041;1.0
280349;conf/sigmod/Keim99;0.5151515007019043;1.0;0.6127016544342041;0.875
673655;conf/sigmod/Keim99;0.7638888955116272;0.53125;0.45227742195129395;0.875
765513;conf/sigmod/Keim99;0.5890411138534546;0.5306122303009033;0.6512570977210999;1.0
223850;conf/sigmod/Keim99;0.5530303120613098;0.5;0.6127016544342041;0.875
253355;conf/sigmod/Keim99;0.5530303120613098;0.5340908765792847;0.6127016544342041;0.875
245896;conf/sigmod/Keim99;0.5454545021057129;1.0;0.5196155309677124;0.875
253263;conf/sigmod/Keim99;0.7121212482452393;0.5099999904632568;0.6127016544342041;0.875
375730;journals/sigmod/Ouksel02;0.5422534942626953;0.5;0.5527864098548889;0.875
603879;journals/sigmod/Ouksel02;0.5340908765792847;0.508230447769165;0.722649872303009;0.875
604272;journals/sigmod/Ouksel02;0.5422534942626953;0.5116279125213623;0.722649872303009;0.875
507358;journals/sigmod/Ouksel02;0.5226130485534668;0.5882352590560913;0.722649872303009;1.0
565131;journals/sigmod/Ouksel02;0.5144927501678467;0.7857142686843872;0.722649872303009;1.0
565127;journals/sigmod/Ouksel02;0.5183823108673096;0.5882352590560913;0.722649872303009;1.0
672176;journals/sigmod/Ouksel02;0.5492957830429077;0.5;0.45227742195129395;0.875
945735;journals/sigmod/Ouksel02;0.563380241394043;1.0;0.722649872303009;0.875
304226;journals/vldb/Seshadri98;0.5491803288459778;1.0;0.5527864098548889;0.875
673628;journals/vldb/Seshadri98;0.7083333730697632;0.512499988079071;0.45227742195129395;0.875
765531;journals/vldb/Seshadri98;0.9491525292396545;1.0;0.6712020635604858;1.0
273251;journals/vldb/Seshadri98;0.5338982939720154;1.0;0.37982630729675293;1.0
187454;journals/sigmod/RamamrithamS97;0.5328947305679321;0.5099667906761169;0.722649872303009;0.875
187449;journals/sigmod/RamamrithamS97;0.5065789222717285;0.5099667906761169;0.722649872303009;0.875
181562;journals/sigmod/RamamrithamS97;0.5328947305679321;0.5099337697029114;0.722649872303009;0.875
