elemento1;elemento2;qtdAlg;min;max;med;duplicata;title;artist;track01;track02;track03;track10;track11
4441;8151;4;0.9029720276594162;0.9711538404226303;0.9200174808502197;1.0;1.0;1.0;0.8846153616905212;0.7272727489471436;0.8333333134651184;0.75;0.7692307829856873
3670;8151;4;0.8513986021280289;0.9423076957464218;0.8741258755326271;1.0;1.0;1.0;0.7692307829856873;0.6363636255264282;0.6666666269302368;0.6666666269302368;0.615384578704834
7769;8151;1;0.8822649568319321;0.8822649568319321;0.8822649568319321;1.0;0.644444465637207;1.0;0.8846153616905212;0.7272727489471436;0.8333333134651184;0.75;0.7692307829856873
7515;8151;4;0.9029720276594162;0.9711538404226303;0.9200174808502197;1.0;1.0;1.0;0.8846153616905212;0.7272727489471436;0.7777777910232544;0.75;0.692307710647583
102562;104023;1;0.7739845961332321;0.7739845961332321;0.7739845961332321;0.0;0.8214285969734192;1.0;0.2745097875595093;0.29729729890823364;0.22727274894714355;0.25531917810440063;0.15151512622833252
101556;105525;1;0.6497946828603745;0.6497946828603745;0.6497946828603745;0.0;0.5122222304344177;1.0;0.08695650100708008;0.1904761791229248;0.1071428656578064;0.22580647468566895;0.20408165454864502
101556;106101;1;0.7084375023841858;0.7084375023841858;0.7084375023841858;0.0;0.6150000095367432;1.0;0.21875;0.1666666865348816;0.18333333730697632;0.22580647468566895;0.15625
105525;106101;1;0.7928125113248825;0.7928125113248825;0.7928125113248825;0.0;0.89000004529953;1.0;0.28125;0.13636362552642822;0.18333333730697632;0.25;0.16326528787612915
7653;7852;5;0.8819444477558136;0.9444444477558136;0.920405986905098;1.0;0.75;1.0;0.7777777910232544;1.0;1.0;1.0;0.1764705777168274
7653;8029;5;0.8819444477558136;0.9444444477558136;0.920405986905098;1.0;0.75;1.0;0.7777777910232544;1.0;1.0;1.0;0.1764705777168274
10383;7653;5;0.8819444477558136;0.9444444477558136;0.920405986905098;1.0;0.75;1.0;0.7777777910232544;1.0;1.0;1.0;0.1764705777168274
10230;7653;5;0.8534188121557236;0.9111111164093018;0.8802136808633805;1.0;0.7166666984558105;1.0;0.7777777910232544;0.8666666746139526;0.875;1.0;0.1875
6858;7653;5;0.8306915313005447;0.9111111164093018;0.8619561076164246;1.0;0.6166666746139526;1.0;0.7777777910232544;0.8666666746139526;0.875;1.0;0.1764705777168274
10102;8140;1;0.8983239233493805;0.8983239233493805;0.8983239233493805;1.0;0.7511904239654541;1.0;0.8421052694320679;0.0;0.0;0.0;0.0
6314;8464;5;0.9193363785743713;0.9736842066049576;0.9359938414960073;1.0;1.0;1.0;0.8947368264198303;0.782608687877655;0.9032257795333862;0.800000011920929;0.8666666746139526
101693;102395;1;0.7394047677516937;0.7394047677516937;0.7394047677516937;0.0;0.7433333396911621;1.0;0.2142857313156128;0.2250000238418579;0.1111111044883728;0.1904761791229248;0.12903225421905518
7540;7542;1;0.9615384638309479;0.9615384638309479;0.9615384638309479;1.0;1.0;1.0;0.8461538553237915;0.20930230617523193;0.6000000238418579;0.5;0.7105263471603394
7542;8823;2;0.9749721966940782;1.0;0.987486098347039;1.0;1.0;1.0;1.0;0.3720930218696594;0.8333333134651184;1.0;0.8387097120285034
7540;8823;4;0.8745819330215454;0.9615384638309479;0.896321065723896;1.0;1.0;1.0;0.8461538553237915;0.6521738767623901;0.7200000286102295;0.5;0.7894736528396606
101723;106128;1;0.78125;0.78125;0.78125;0.0;0.875;1.0;0.25;0.3333333134651184;0.2142857313156128;0.12244898080825806;0.1111111044883728
7920;8494;5;0.8906746208667755;0.9923371754843613;0.9449357019416217;1.0;0.9555556178092957;1.0;1.0;0.75;1.0;1.0;1.0
6382;7920;6;0.9375;1.0;0.9583333333333334;1.0;1.0;1.0;1.0;0.75;1.0;1.0;1.0
7794;8890;5;0.9299242496490479;0.9924242496490479;0.9424242496490478;1.0;1.0;1.0;0.9696969985961914;0.75;1.0;0.9047619104385376;1.0
7794;9063;6;0.888293668627739;0.961904764175415;0.9194225874440424;1.0;0.9333333373069763;1.0;0.9142857193946838;0.75;0.9166666865348816;0.8571428656578064;0.9130434989929199
6802;7794;6;0.8666381147401085;0.961904764175415;0.9050547713520883;1.0;0.9333333373069763;1.0;0.9142857193946838;0.75;0.9166666865348816;0.8571428656578064;0.9130434989929199
102024;105032;1;0.7347972989082336;0.7347972989082336;0.7347972989082336;0.0;0.75;1.0;0.18918919563293457;0.3243243098258972;0.14705884456634521;0.19999998807907104;0.22641509771347046
102024;102960;1;0.7832207232713699;0.7832207232713699;0.7832207232713699;0.0;0.9166666865348816;1.0;0.21621620655059814;0.23076921701431274;0.20588237047195435;0.17777776718139648;0.14814811944961548
102960;105032;1;0.7483108043670654;0.7483108043670654;0.7483108043670654;0.0;0.75;1.0;0.24324321746826172;0.24324321746826172;0.2142857313156128;0.1111111044883728;0.1320754885673523
103878;109649;1;0.7043478339910507;0.7043478339910507;0.7043478339910507;0.0;0.6000000238418579;1.0;0.21739131212234497;0.13157892227172852;0.1666666865348816;0.125;0.1875
101624;109637;1;0.7173309326171875;0.7173309326171875;0.7173309326171875;0.0;0.7388889193534851;1.0;0.1304348111152649;0.17073172330856323;0.17073172330856323;0.12000000476837158;0.12195122241973877
100893;109637;1;0.750217393040657;0.750217393040657;0.750217393040657;0.0;0.7400000095367432;1.0;0.260869562625885;0.27272725105285645;0.1860465407371521;0.17073172330856323;0.0952380895614624
101107;109637;1;0.7064990997314453;0.7064990997314453;0.7064990997314453;0.0;0.6520833373069763;1.0;0.17391306161880493;0.1875;0.1666666865348816;0.1666666865348816;0.0625
100893;101624;1;0.7368181794881821;0.7368181794881821;0.7368181794881821;0.0;0.7199999690055847;1.0;0.22727274894714355;0.17073172330856323;0.20930230617523193;0.17073172330856323;0.24390244483947754
