elemento1;elemento2;title;artist;track01;track02;track03;duplicata
4975;5889;1.0;1.0;1.0;0.8333333134651184;1.0;true
5577;8990;1.0;0.8333333134651184;1.0;0.9375;1.0;true
3475;8592;0.9375;1.0;0.8888888955116272;1.0;0.8571428656578064;true
3192;7923;1.0;1.0;0.8999999761581421;1.0;1.0;true
4395;8725;1.0;1.0;0.8888888955116272;0.9333333373069763;1.0;true
10230;7852;0.9230769276618958;1.0;1.0;0.8666666746139526;0.875;true
6858;7852;0.9230769276618958;0.9090908765792847;1.0;0.8666666746139526;0.875;true
10230;8029;0.9230769276618958;1.0;1.0;0.8666666746139526;0.875;true
6858;8029;0.9230769276618958;0.9090908765792847;1.0;0.8666666746139526;0.875;true
10230;10383;0.9230769276618958;1.0;1.0;0.8666666746139526;0.875;true
10383;6858;0.9230769276618958;0.9090908765792847;1.0;0.8666666746139526;0.875;true
10230;6858;0.8461538553237915;0.9090908765792847;1.0;1.0;1.0;true
5360;8430;0.800000011920929;1.0;0.8461538553237915;0.9545454382896423;0.9090908765792847;true
9348;9485;1.0;0.875;1.0;1.0;0.9411764740943909;true
8609;9130;1.0;0.800000011920929;1.0;1.0;1.0;true
4843;8794;1.0;1.0;1.0;0.8666666746139526;1.0;true
7123;9038;1.0;1.0;1.0;0.8421052694320679;0.7857142686843872;true
11150;8901;1.0;0.8636363744735718;1.0;1.0;1.0;true
9421;9489;1.0;1.0;1.0;0.8999999761581421;1.0;true
7161;8131;0.8888888955116272;1.0;1.0;1.0;1.0;true
5835;9278;1.0;0.8333333134651184;1.0;1.0;1.0;true
8344;9229;0.8333333134651184;1.0;1.0;1.0;1.0;true
7094;9189;0.8181818127632141;1.0;1.0;1.0;1.0;true
4348;7170;0.9047619104385376;1.0;0.8260869383811951;1.0;1.0;true
7037;7237;0.8888888955116272;1.0;0.9302325248718262;0.9117646813392639;1.0;true
100170;100358;1.0;1.0;0.9333333373069763;0.8666666746139526;0.8666666746139526;false
10301;6246;1.0;1.0;1.0;0.8571428656578064;1.0;true
5238;8297;0.9090908765792847;1.0;1.0;0.8846153616905212;1.0;true
4895;9209;1.0;1.0;1.0;0.8571428656578064;0.7272727489471436;true
2619;6174;1.0;1.0;0.875;1.0;1.0;true
9588;9811;1.0;1.0;1.0;0.875;1.0;true
7653;7852;0.8461538553237915;1.0;0.7777777910232544;1.0;1.0;true
7653;8029;0.8461538553237915;1.0;0.7777777910232544;1.0;1.0;true
10383;7653;0.8461538553237915;1.0;0.7777777910232544;1.0;1.0;true
10230;7653;0.7692307829856873;1.0;0.7777777910232544;0.8666666746139526;0.875;true
6858;7653;0.7692307829856873;0.9090908765792847;0.7777777910232544;0.8666666746139526;0.875;true
4441;8151;1.0;1.0;0.8846153616905212;0.7272727489471436;0.8333333134651184;true
3670;4441;1.0;1.0;0.8695652484893799;0.875;0.800000011920929;true
3670;8151;1.0;1.0;0.7692307829856873;0.6363636255264282;0.6666666269302368;true
7515;8151;1.0;1.0;0.8846153616905212;0.7272727489471436;0.7777777910232544;true
3670;7515;1.0;1.0;0.8695652484893799;0.875;0.8666666746139526;true
4179;4732;1.0;1.0;0.8888888955116272;0.800000011920929;0.5;true
4179;4911;1.0;1.0;0.8888888955116272;0.800000011920929;0.5;true
2366;2367;0.8500000238418579;1.0;0.7333333492279053;0.8999999761581421;0.8999999761581421;true
6314;8464;1.0;1.0;0.8947368264198303;0.782608687877655;0.9032257795333862;true
7525;8995;1.0;1.0;0.625;0.8999999761581421;0.8571428656578064;true
7540;8823;1.0;1.0;0.8461538553237915;0.6521738767623901;0.7200000286102295;true
6382;7920;1.0;1.0;1.0;0.75;1.0;true
7794;8890;1.0;1.0;0.9696969985961914;0.75;1.0;true
7794;9063;0.9166666865348816;1.0;0.9142857193946838;0.75;0.9166666865348816;true
6802;7794;0.9166666865348816;1.0;0.9142857193946838;0.75;0.9166666865348816;true
10000;8664;1.0;0.9333333373069763;0.875;0.7777777910232544;0.8285714387893677;true
5025;9863;0.8999999761581421;1.0;0.75;0.8999999761581421;0.8888888955116272;true
2823;4684;0.9411764740943909;1.0;0.8421052694320679;0.8333333134651184;0.8947368264198303;true
3792;8891;0.95652174949646;1.0;0.800000011920929;0.8333333134651184;0.7692307829856873;true
6922;9161;1.0;1.0;0.8181818127632141;0.800000011920929;0.7142857313156128;true
3383;6969;0.9545454382896423;1.0;0.800000011920929;0.9642857313156128;0.9333333373069763;true
103398;107056;0.9285714030265808;0.875;0.7777777910232544;0.875;0.8333333134651184;false
