First Object;Second Object;Similarity Value;TP;FP
cddb.[1858];cddb.[9637];1.0;1;
cddb.[2004];cddb.[3710];1.0;1;
cddb.[2187];cddb.[2418];1.0;1;
cddb.[2188];cddb.[8063];0.9083333164453506;1;
cddb.[2252];cddb.[4733];1.0;1;
cddb.[2366];cddb.[2367];0.8583333492279053;1;
cddb.[2406];cddb.[7291];0.9874999970197678;1;
cddb.[2427];cddb.[8640];0.953125;1;
cddb.[2440];cddb.[5443];1.0;1;
cddb.[2571];cddb.[9019];1.0;1;
cddb.[2577];cddb.[2581];1.0;1;
cddb.[2619];cddb.[6174];0.96875;1;
cddb.[2781];cddb.[9669];1.0;1;
cddb.[2813];cddb.[3155];0.9426406770944595;1;
cddb.[10064];cddb.[2819];1.0;1;
cddb.[2823];cddb.[4684];0.9311145544052124;1;
cddb.[2957];cddb.[3106];1.0;1;
cddb.[3086];cddb.[3215];0.8653846085071564;1;
cddb.[3159];cddb.[9969];1.0;1;
cddb.[3192];cddb.[7923];0.9749999940395355;1;
cddb.[3356];cddb.[6955];1.0;1;
cddb.[3383];cddb.[6969];0.9272727221250534;1;
cddb.[3475];cddb.[8592];0.9409722238779068;1;
cddb.[10061];cddb.[3517];0.9861111044883728;1;
cddb.[3529];cddb.[4114];1.0;1;
cddb.[3539];cddb.[4190];1.0;1;
cddb.[3670];cddb.[4441];0.967391312122345;1;
cddb.[3670];cddb.[7515];0.967391312122345;1;
cddb.[3678];cddb.[4266];1.0;1;
cddb.[3678];cddb.[6690];1.0;1;
cddb.[3722];cddb.[6719];1.0;1;
cddb.[3722];cddb.[8453];1.0;1;
cddb.[3792];cddb.[8891];0.9282608777284622;1;
cddb.[3931];cddb.[5754];1.0;1;
cddb.[4108];cddb.[7977];0.9110576808452606;1;
cddb.[4178];cddb.[7199];1.0;1;
cddb.[4178];cddb.[8683];0.8597560971975327;1;
cddb.[4179];cddb.[4732];0.9722222238779068;1;
cddb.[4184];cddb.[6950];0.8705357164144516;1;
cddb.[4266];cddb.[6690];1.0;1;
cddb.[4291];cddb.[4905];1.0;1;
cddb.[4292];cddb.[8795];1.0;1;
cddb.[4297];cddb.[4306];1.0;1;
cddb.[4297];cddb.[8636];1.0;1;
cddb.[4306];cddb.[8636];1.0;1;
cddb.[4348];cddb.[7170];0.9089026898145676;1;
cddb.[4384];cddb.[5657];1.0;1;
cddb.[4395];cddb.[8725];0.9722222238779068;1;
cddb.[4419];cddb.[7644];1.0;1;
cddb.[4441];cddb.[7515];1.0;1;
cddb.[4441];cddb.[8151];0.9711538404226303;1;
cddb.[4481];cddb.[6716];1.0;1;
cddb.[4508];cddb.[9662];1.0;1;
cddb.[4586];cddb.[7633];0.9705882370471954;1;
cddb.[4613];cddb.[6116];0.967391312122345;1;
cddb.[4676];cddb.[5746];0.875;1;
cddb.[4732];cddb.[4911];1.0;1;
cddb.[4843];cddb.[8794];1.0;1;
cddb.[4895];cddb.[9209];1.0;1;
cddb.[4975];cddb.[5889];1.0;1;
cddb.[5025];cddb.[9863];0.887499988079071;1;
cddb.[11530];cddb.[5099];1.0;1;
cddb.[5185];cddb.[7072];0.9549999833106995;1;
cddb.[5238];cddb.[8297];0.9545454382896423;1;
cddb.[11455];cddb.[5289];0.9411764740943909;1;
cddb.[5324];cddb.[7847];1.0;1;
cddb.[5360];cddb.[8430];0.8615384697914124;1;
cddb.[5371];cddb.[5959];0.9861111044883728;1;
cddb.[5394];cddb.[5418];0.984375;1;
cddb.[5426];cddb.[7869];1.0;1;
cddb.[10361];cddb.[5426];0.8888888955116272;1;
cddb.[5477];cddb.[8368];1.0;1;
cddb.[5477];cddb.[9076];1.0;1;
cddb.[5542];cddb.[6695];0.8739034980535507;1;
cddb.[5574];cddb.[7562];0.9625000059604645;1;
cddb.[5577];cddb.[8990];0.9583333283662796;1;
cddb.[5731];cddb.[8779];1.0;1;
cddb.[5776];cddb.[9008];1.0;1;
cddb.[5912];cddb.[8949];1.0;1;
cddb.[5921];cddb.[8423];1.0;1;
cddb.[5988];cddb.[8859];1.0;1;
cddb.[6102];cddb.[9115];0.9444444477558136;1;
cddb.[10449];cddb.[6162];0.9375;1;
cddb.[10301];cddb.[6246];1.0;1;
cddb.[6272];cddb.[7460];1.0;1;
cddb.[6314];cddb.[8464];0.9736842066049576;1;
cddb.[6316];cddb.[7311];1.0;1;
cddb.[6339];cddb.[7517];1.0;1;
cddb.[6382];cddb.[7920];1.0;1;
cddb.[6382];cddb.[8494];0.9309523850679398;1;
cddb.[6547];cddb.[6741];0.9821428507566452;1;
