[0, 2, 3, 4, 7, 9, 10, 12, 13, 17, 18, 19, 20, 21, 22]
[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14, 17, 18, 20]
[0, 2, 7, 8, 9, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22]
[0, 1, 2, 4, 6, 7, 8, 9, 10, 11, 14, 17, 18, 20, 21]
[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 18, 19]
[0, 1, 2, 3, 4, 7, 13, 14, 15, 16, 17, 18, 19, 21, 22]
[0, 1, 3, 5, 6, 7, 8, 9, 11, 12, 13, 14, 18, 21, 22]
[0, 2, 5, 6, 8, 9, 11, 13, 14, 17, 18, 19, 20, 21, 22]
[0, 1, 2, 3, 5, 7, 10, 11, 13, 14, 16, 17, 20, 21, 22]
[0, 4, 6, 7, 9, 10, 11, 13, 14, 15, 16, 18, 19, 21, 22]
